"Enzyme","Ligand","OptimalEnergy","Energy","LB","UB","num_torsions"
"fold_atan1p_wt_palmitic_acid_model_4","Caffeic_Acid",-6.132,-6.103,1.11,5.95,5
"fold_atan1p_wt_palmitic_acid_model_4","Cinnamyl_alcohol",-6.017,-5.818,2.88,5.241,3
"fold_atan1p_wt_palmitic_acid_model_4","Ferulic_Acid",-6.307,-6.032,1.049,2.57,5
"fold_atan1p_wt_palmitic_acid_model_4","Gallic_acid",-5.389,-5.344,0.063,2.402,5
"fold_atan1p_wt_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.329,-5.288,2.897,4.048,4
"fold_cala_chaina_wt_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-6.325,-6.32,0.034,1.457,4
"fold_cala_chaina_wt_palmitic_acid_model_4","Caffeic_Acid",-7.481,-7.469,0.945,5.968,5
"fold_cala_chaina_wt_palmitic_acid_model_4","Cinnamyl_alcohol",-7.629,-6.651,3.253,6.062,3
"fold_cala_chaina_wt_palmitic_acid_model_4","Ferulic_Acid",-7.255,-7.065,1.101,2.408,5
"fold_cala_chaina_wt_palmitic_acid_model_4","Gallic_acid",-6.059,-6.053,0.017,2.402,5
"fold_cala_chaina_wt_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.228,-3.905,18.209,19.241,4
"fold_calb_wt_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.231,-5.216,3.009,4.483,4
"fold_calb_wt_palmitic_acid_model_4","Caffeic_Acid",-6.47,-6.008,0.934,1.944,5
"fold_calb_wt_palmitic_acid_model_4","Cinnamyl_alcohol",-6.349,-6.331,1.945,4.655,3
"fold_calb_wt_palmitic_acid_model_4","Ferulic_Acid",-6.059,-5.815,1.117,2.328,5
"fold_calb_wt_palmitic_acid_model_4","Gallic_acid",-5.789,-5.746,0.109,2.404,5
"fold_calb_wt_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-6.108,-5.799,1.936,5.588,4
"fold_cdulac_wt_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.566,-5.322,8.082,11.528,4
"fold_cdulac_wt_palmitic_acid_model_4","Caffeic_Acid",-5.902,-5.867,9.776,12.655,5
"fold_cdulac_wt_palmitic_acid_model_4","Cinnamyl_alcohol",-6.328,-6.248,0.728,2.116,3
"fold_cdulac_wt_palmitic_acid_model_4","Ferulic_Acid",-6.048,-5.788,5.434,8.062,5
"fold_cdulac_wt_palmitic_acid_model_4","Gallic_acid",-4.995,-4.946,0.138,2.404,5
"fold_cdulac_wt_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.792,-5.566,1.683,5.753,4
"fold_cplip2_a333e_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.104,-5.901,1.128,5.079,4
"fold_cplip2_a333e_alphafold_model_4","Caffeic_Acid",-6.464,-6.159,1.204,5.658,5
"fold_cplip2_a333e_alphafold_model_4","Cinnamyl_alcohol",-7.23,-6.99,4.364,6.921,3
"fold_cplip2_a333e_alphafold_model_4","Ferulic_Acid",-6.371,-6.216,3.133,5.407,5
"fold_cplip2_a333e_alphafold_model_4","Gallic_acid",-5.48,-5.431,1.114,4.404,5
"fold_cplip2_a333e_alphafold_model_4","dimethoxybenzyl_alcohol",-6.349,-6.322,3.132,4.027,4
"fold_cplip2_a333e_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.756,-5.477,12.407,16.041,4
"fold_cplip2_a333e_palmitic_acid_model_4","Caffeic_Acid",-6.345,-6.092,1.686,6.251,5
"fold_cplip2_a333e_palmitic_acid_model_4","Cinnamyl_alcohol",-6.916,-6.908,0.082,1.99,3
"fold_cplip2_a333e_palmitic_acid_model_4","Ferulic_Acid",-6.351,-6.229,11.024,13.84,5
"fold_cplip2_a333e_palmitic_acid_model_4","Gallic_acid",-5.151,-5.13,7.525,9.604,5
"fold_cplip2_a333e_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.845,-5.76,3.217,5.319,4
"fold_cplip2_e116l_alphafold_model_4","4_Methoxyphenethyl_alcohol",-5.765,-5.697,3.661,4.953,4
"fold_cplip2_e116l_alphafold_model_4","Caffeic_Acid",-6.666,-6.09,1.143,5.706,5
"fold_cplip2_e116l_alphafold_model_4","Cinnamyl_alcohol",-7.017,-6.92,0.201,1.999,3
"fold_cplip2_e116l_alphafold_model_4","Ferulic_Acid",-6.364,-6.2,4.68,6.975,5
"fold_cplip2_e116l_alphafold_model_4","Gallic_acid",-5.439,-5.428,0.043,2.402,5
"fold_cplip2_e116l_alphafold_model_4","dimethoxybenzyl_alcohol",-6.261,-6.219,3.288,4.228,4
"fold_cplip2_e116l_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.691,-5.511,1.2,5.163,4
"fold_cplip2_e116l_palmitic_acid_model_4","Caffeic_Acid",-6.473,-6.411,9.872,12.279,5
"fold_cplip2_e116l_palmitic_acid_model_4","Cinnamyl_alcohol",-6.879,-6.796,0.275,2.004,3
"fold_cplip2_e116l_palmitic_acid_model_4","Ferulic_Acid",-6.465,-6.323,10.229,13.073,5
"fold_cplip2_e116l_palmitic_acid_model_4","Gallic_acid",-5.129,-5.122,0.031,2.402,5
"fold_cplip2_e116l_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-6.155,-5.943,3.002,4.833,4
"fold_cplip2_n164k_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.106,-5.987,1.094,5.17,4
"fold_cplip2_n164k_alphafold_model_4","Caffeic_Acid",-6.23,-6.143,1.223,5.678,5
"fold_cplip2_n164k_alphafold_model_4","Cinnamyl_alcohol",-6.988,-6.957,4.401,6.656,3
"fold_cplip2_n164k_alphafold_model_4","Ferulic_Acid",-6.467,-6.426,0.988,1.137,5
"fold_cplip2_n164k_alphafold_model_4","Gallic_acid",-5.518,-5.517,0.05,2.402,5
"fold_cplip2_n164k_alphafold_model_4","dimethoxybenzyl_alcohol",-6.454,-6.287,1.625,5.733,4
"fold_cplip2_n164k_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.77,-5.554,1.109,5.197,4
"fold_cplip2_n164k_palmitic_acid_model_4","Caffeic_Acid",-6.104,-5.849,3.903,5.987,5
"fold_cplip2_n164k_palmitic_acid_model_4","Cinnamyl_alcohol",-6.793,-6.455,9.847,12.035,3
"fold_cplip2_n164k_palmitic_acid_model_4","Ferulic_Acid",-6.35,-6.03,11.002,13.792,5
"fold_cplip2_n164k_palmitic_acid_model_4","Gallic_acid",-5.103,-5.089,0.062,2.402,5
"fold_cplip2_n164k_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.883,-5.825,1.568,5.627,4
"fold_cplip2_p429f_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.146,-6.113,0.102,1.46,4
"fold_cplip2_p429f_alphafold_model_4","Caffeic_Acid",-6.187,-6.007,1.124,5.673,5
"fold_cplip2_p429f_alphafold_model_4","Cinnamyl_alcohol",-7.147,-7.147,0.087,1.991,3
"fold_cplip2_p429f_alphafold_model_4","Ferulic_Acid",-6.464,-6.18,2.51,3.713,5
"fold_cplip2_p429f_alphafold_model_4","Gallic_acid",-5.69,-5.685,0.014,2.402,5
"fold_cplip2_p429f_alphafold_model_4","dimethoxybenzyl_alcohol",-6.317,-6.15,1.598,5.656,4
"fold_cplip2_p429f_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.571,-5.451,1.078,5.193,4
"fold_cplip2_p429f_palmitic_acid_model_4","Caffeic_Acid",-6.086,-6.041,8.125,10.254,5
"fold_cplip2_p429f_palmitic_acid_model_4","Cinnamyl_alcohol",-6.639,-6.639,0.095,1.991,3
"fold_cplip2_p429f_palmitic_acid_model_4","Ferulic_Acid",-6.104,-5.933,3.194,4.443,5
"fold_cplip2_p429f_palmitic_acid_model_4","Gallic_acid",-5.078,-5.062,0.09,2.403,5
"fold_cplip2_p429f_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.864,-5.799,1.676,5.725,4
"fold_cplip2_s369a_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.481,-6.38,0.14,1.463,4
"fold_cplip2_s369a_alphafold_model_4","Caffeic_Acid",-6.402,-6.219,0.768,1.848,5
"fold_cplip2_s369a_alphafold_model_4","Cinnamyl_alcohol",-6.773,-6.748,0.057,1.99,3
"fold_cplip2_s369a_alphafold_model_4","Ferulic_Acid",-6.458,-5.979,0.989,2.223,5
"fold_cplip2_s369a_alphafold_model_4","Gallic_acid",-5.243,-5.232,0.045,2.402,5
"fold_cplip2_s369a_alphafold_model_4","dimethoxybenzyl_alcohol",-5.991,-5.778,1.66,1.999,4
"fold_cplip2_s369a_y179f8_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.146,-5.896,1.105,4.958,4
"fold_cplip2_s369a_y179f8_alphafold_model_4","Caffeic_Acid",-6.527,-6.199,4.11,6.238,5
"fold_cplip2_s369a_y179f8_alphafold_model_4","Cinnamyl_alcohol",-6.926,-6.788,1.792,2.708,3
"fold_cplip2_s369a_y179f8_alphafold_model_4","Ferulic_Acid",-6.412,-6.321,4.815,7.062,5
"fold_cplip2_s369a_y179f8_alphafold_model_4","Gallic_acid",-5.364,-5.351,0.07,2.402,5
"fold_cplip2_s369a_y179f8_alphafold_model_4","dimethoxybenzyl_alcohol",-6.368,-6.324,3.275,4.202,4
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.73,-5.659,13.774,17.641,4
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","Caffeic_Acid",-6.316,-6.295,10.951,13.887,5
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","Cinnamyl_alcohol",-6.932,-6.914,0.08,1.991,3
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","Ferulic_Acid",-6.424,-6.325,11.145,13.935,5
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","Gallic_acid",-5.274,-5.273,0.072,2.403,5
"fold_cplip2_s369a_y179f_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.703,-5.682,3.859,7.774,4
"fold_cplip2_s369c_alphafold_model_4","4_Methoxyphenethyl_alcohol",-5.841,-5.831,0.069,1.458,4
"fold_cplip2_s369c_alphafold_model_4","Caffeic_Acid",-6.183,-5.972,3.714,6.455,5
"fold_cplip2_s369c_alphafold_model_4","Cinnamyl_alcohol",-6.406,-6.389,2.014,3.057,3
"fold_cplip2_s369c_alphafold_model_4","Ferulic_Acid",-6.189,-5.944,2.814,6.367,5
"fold_cplip2_s369c_alphafold_model_4","Gallic_acid",-5.3,-5.285,0.045,2.402,5
"fold_cplip2_s369c_alphafold_model_4","dimethoxybenzyl_alcohol",-6.033,-5.917,1.759,5.718,4
"fold_cplip2_s369c_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.648,-5.569,13.748,17.597,4
"fold_cplip2_s369c_palmitic_acid_model_4","Caffeic_Acid",-6.333,-6.162,2.863,6.83,5
"fold_cplip2_s369c_palmitic_acid_model_4","Cinnamyl_alcohol",-6.875,-6.564,11.027,12.781,3
"fold_cplip2_s369c_palmitic_acid_model_4","Ferulic_Acid",-6.334,-6.039,10.389,13.325,5
"fold_cplip2_s369c_palmitic_acid_model_4","Gallic_acid",-5.061,-5.058,0.025,2.402,5
"fold_cplip2_s369c_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.928,-5.642,5.481,7.298,4
"fold_cplip2_wt_palmitic_alphafold_model_4","4_Methoxyphenethyl_alcohol",-5.639,-5.59,13.659,17.51,4
"fold_cplip2_wt_palmitic_alphafold_model_4","Caffeic_Acid",-6.378,-6.169,2.766,6.721,5
"fold_cplip2_wt_palmitic_alphafold_model_4","Cinnamyl_alcohol",-6.898,-6.699,11.236,13.016,3
"fold_cplip2_wt_palmitic_alphafold_model_4","Ferulic_Acid",-6.36,-6.075,10.221,13.131,5
"fold_cplip2_wt_palmitic_alphafold_model_4","Gallic_acid",-5.069,-4.984,1.134,3.991,5
"fold_cplip2_wt_palmitic_alphafold_model_4","dimethoxybenzyl_alcohol",-5.924,-5.823,1.621,5.655,4
"fold_cplip2_y179f_alphafold_model_4","4_Methoxyphenethyl_alcohol",-6.193,-5.779,3.54,4.775,4
"fold_cplip2_y179f_alphafold_model_4","Caffeic_Acid",-6.495,-6.278,3.243,5.346,5
"fold_cplip2_y179f_alphafold_model_4","Cinnamyl_alcohol",-7.292,-7.139,0.262,2.004,3
"fold_cplip2_y179f_alphafold_model_4","Ferulic_Acid",-6.487,-6.073,2.066,5.47,5
"fold_cplip2_y179f_alphafold_model_4","Gallic_acid",-5.469,-5.466,0.022,2.402,5
"fold_cplip2_y179f_alphafold_model_4","dimethoxybenzyl_alcohol",-6.451,-6.323,3.114,4.038,4
"fold_cplip2_y179f_palmitic_acid_model_4","4_Methoxyphenethyl_alcohol",-5.693,-5.684,13.828,17.742,4
"fold_cplip2_y179f_palmitic_acid_model_4","Caffeic_Acid",-6.314,-6.117,2.767,6.735,5
"fold_cplip2_y179f_palmitic_acid_model_4","Cinnamyl_alcohol",-6.862,-6.746,11.344,13.157,3
"fold_cplip2_y179f_palmitic_acid_model_4","Ferulic_Acid",-6.359,-6.216,11.03,13.839,5
"fold_cplip2_y179f_palmitic_acid_model_4","Gallic_acid",-5.171,-5.032,7.698,10.03,5
"fold_cplip2_y179f_palmitic_acid_model_4","dimethoxybenzyl_alcohol",-5.783,-5.668,3.268,5.45,4
